x_0,y_0,z_0,tradewhen_0
0,,0,0
0,0.711141088,0,0
1,-1.283417207,0,-1.283417207
0,,0,-1.283417207
0,-1.434102624,0,-1.283417207
0,0.096771737,0,-1.283417207
0,0.342105121,0,-1.283417207
0,-0.264860504,0,-1.283417207
0,2.575907096,0,-1.283417207
0,0.320789714,0,-1.283417207
0,-1.851309568,0,-1.283417207
0,0.402027015,0,-1.283417207
0,,0,-1.283417207
0,-0.372567638,1,0
1,0.210014904,0,0.210014904
0,,0,0.210014904
0,0.675980131,0,0.210014904
0,,0,0.210014904
0,2.481724875,0,0.210014904
0,-0.020107622,0,0.210014904
0,0.390519548,0,0.210014904
0,,0,0.210014904
0,,0,0.210014904
0,,0,0.210014904
1,0.596683516,0,0.596683516
0,,0,0.596683516
0,-0.012601768,0,0.596683516
0,0.971315839,0,0.596683516
0,0.623891192,0,0.596683516
0,-1.041489633,0,0.596683516
0,-2.355020001,0,0.596683516
0,0.110943306,0,0.596683516
0,0.703564344,0,0.596683516
0,0.849051637,0,0.596683516
0,0.899857613,0,0.596683516
0,-0.170346758,0,0.596683516
0,-0.047101104,0,0.596683516
0,,0,0.596683516
0,,0,0.596683516
0,-0.206525961,0,0.596683516
0,1.775732619,0,0.596683516
0,1.137969999,0,0.596683516
0,1.243765653,1,0
0,0.990946444,0,0
0,1.904482498,0,0
0,,0,0
0,-1.538330678,0,0
0,0.651499522,0,0
0,0.888219258,0,0
0,,0,0
0,,0,0
0,,1,0
0,,0,0
0,0.332158868,0,0
0,,0,0
0,-0.4610968,0,0
1,,0,0
1,0.87222514,0,0.87222514
0,2.900974995,1,0
0,1.24319753,0,0
0,-1.882659258,0,0
0,-1.378777029,0,0
0,0.464748949,0,0
0,-0.137168477,0,0
0,0.867423815,0,0
0,0.948413162,0,0
0,,0,0
1,0.837195781,0,0.837195781
0,,0,0.837195781
0,1.1630751,0,0.837195781
0,,0,0.837195781
0,3.053032677,0,0.837195781
0,-1.179570655,0,0.837195781
0,-0.22227757,0,0.837195781
1,,1,0
0,0.929276828,0,0
0,0.628648142,1,0
0,0.935487221,0,0
0,-1.347341822,0,0
1,-0.353060588,0,-0.353060588
0,-0.528457641,1,0
0,-1.138330765,0,0
0,-0.954123142,0,0
0,-0.716641139,0,0
0,-1.034632137,0,0
0,0.957535911,0,0
0,-0.509514608,0,0
0,1.314104603,0,0
0,1.06069597,0,0
0,0.083528466,0,0
0,0.841491212,0,0
0,-0.189420726,0,0
0,,0,0
0,-0.238040651,0,0
0,,1,0
1,-0.180482765,0,-0.180482765
0,1.780665493,0,-0.180482765
1,,0,-0.180482765
0,0.370331816,0,-0.180482765
0,-0.29746687,0,-0.180482765
1,-1.036718842,1,0
0,0.407255312,0,0
0,0.102170779,0,0
0,2.367084475,0,0
1,0.814439242,0,0.814439242
0,,0,0.814439242
0,-1.081754818,0,0.814439242
0,0.455847273,0,0.814439242
0,,0,0.814439242
0,0.346035191,0,0.814439242
0,-0.890327563,0,0.814439242
0,-1.274468175,0,0.814439242
0,-0.584588715,0,0.814439242
1,-2.32938053,0,-2.32938053
0,-0.528337234,0,-2.32938053
0,-1.296117911,0,-2.32938053
0,0.574623856,0,-2.32938053
0,0.918185184,0,-2.32938053
1,-0.134901867,0,-0.134901867
0,-1.504568591,0,-0.134901867
0,0.237993563,0,-0.134901867
0,,1,0
0,-0.453326372,0,0
1,0.372182606,0,0.372182606
1,,0,0.372182606
0,-0.533870498,0,0.372182606
0,,0,0.372182606
0,-0.395223585,0,0.372182606
0,-0.733514386,0,0.372182606
0,-0.846081124,0,0.372182606
0,,0,0.372182606
0,,0,0.372182606
0,0.182181305,0,0.372182606
0,-0.211834342,0,0.372182606
0,,0,0.372182606
0,-0.215267097,0,0.372182606
0,,0,0.372182606
0,-0.982212566,0,0.372182606
0,1.257671847,0,0.372182606
0,0.747079124,0,0.372182606
0,0.315258879,0,0.372182606
0,-0.856552791,0,0.372182606
0,0.157028393,1,0
0,,0,0
0,0.013413173,0,0
0,,0,0
0,-0.454919382,1,0
0,0.274292141,0,0
0,,0,0
0,-1.16393952,0,0
0,,0,0
0,-0.985801959,0,0
1,1.419668305,0,1.419668305
0,,0,1.419668305
0,0.05585703,0,1.419668305
0,0.45945028,0,1.419668305
0,1.176530689,0,1.419668305
0,0.452763123,0,1.419668305
0,-0.338127388,0,1.419668305
0,,0,1.419668305
0,0.09312802,0,1.419668305
0,0.212041476,0,1.419668305
1,0.485402155,0,0.485402155
0,2.628814498,0,0.485402155
0,,0,0.485402155
0,1.230565613,0,0.485402155
0,0.22039362,1,0
0,1.092263198,0,0
0,-1.371700133,1,0
0,1.067119611,1,0
0,-1.21335333,0,0
0,,0,0
0,,0,0
0,,0,0
0,1.61455988,0,0
0,-1.407366504,0,0
1,-0.063026245,0,-0.063026245
0,-0.457872147,0,-0.063026245
0,-0.178960723,0,-0.063026245
0,1.14457486,0,-0.063026245
0,0.357054075,0,-0.063026245
0,-1.281670678,0,-0.063026245
0,-0.901071858,0,-0.063026245
0,1.864115912,0,-0.063026245
0,,0,-0.063026245
0,0.283013865,0,-0.063026245
0,,0,-0.063026245
0,-1.103760172,0,-0.063026245
0,,0,-0.063026245
0,,0,-0.063026245
0,-0.035620174,0,-0.063026245
0,-0.542599758,0,-0.063026245
0,-0.54976199,0,-0.063026245
0,-1.181024706,0,-0.063026245
0,1.025879987,0,-0.063026245
0,1.505170272,0,-0.063026245
0,1.525468858,0,-0.063026245
0,-0.282321462,1,0
0,-1.194611674,0,0
0,0.43925862,0,0
0,-1.180706544,0,0
1,1.323114811,0,1.323114811
0,-1.261399214,0,1.323114811
0,-0.056859906,0,1.323114811
0,-0.660006985,0,1.323114811
0,0.459118397,0,1.323114811
0,0.28400543,0,1.323114811
0,-1.090116098,0,1.323114811
0,0.32418584,1,0
0,0.409673486,0,0
0,0.600440852,0,0
0,-0.163084027,0,0
0,,0,0
0,,1,0
0,-0.574727303,0,0
0,-1.136806821,0,0
0,0.807385103,0,0
0,0.9087362,0,0
